state,state_abbrev,year,regulator_name,regulator_url,total_external_reviews,total_overturned_full_or_partial,percent_overturned,system_type,source_document,notes
Alabama,AL,2024,HHS-Administered Federal External Review (MAXIMUS Federal Services),https://www.cms.gov/cciio/programs-and-initiatives/consumer-support-and-information/csg-ext-appeals-facts,,,,HHS-administered,https://maximusferp.my.site.com/FERP/s/,Data gap: HHS-administered process; CMS does not publish state-level case totals. Alabama has no state-run external review system.
Alaska,AK,,Alaska Division of Insurance,https://www.commerce.alaska.gov/web/ins/Consumers/Health/ExternalHealthcareReview.aspx,,,,state-run,https://www.commerce.alaska.gov/web/ins/AboutUs/AnnualReports.aspx,Data gap: Division publishes annual reports but does not publicly itemize IRO external-review case totals or overturn rates.
Arizona,AZ,2014,Arizona Department of Insurance and Financial Institutions (DIFI),https://difi.az.gov/,,,0.21,state-run,https://www.kff.org/affordable-care-act/state-indicator/external-appeals-review-processes/,Historic KFF-cited figure (21%). DIFI does not publish a current external-review annual report; flagged as stale.
Arkansas,AR,,Arkansas Insurance Department,https://insurance.arkansas.gov/,,,,state-run,https://insurance.arkansas.gov/pages/consumer-services/health-insurance/,Data gap: Arkansas Insurance Department does not publish a public external-review annual statistics report.
California,CA,2024,California Department of Managed Health Care (DMHC),https://www.dmhc.ca.gov/,,,0.727,state-run,https://www.dmhc.ca.gov/Resources/DMHCReports/AnnualReports.aspx,"Headline: ~73% of IMR cases end with enrollee receiving requested service (full+partial overturn by IMRO + plan reversals during review). Of cases reaching final IMRO determination, overturn rate of treatment-denial decisions was 12.7% in 2024 (up from 10.2% in 2023). Full open-data trend file: https://data.chhs.ca.gov/dataset/independent-medical-review-imr-determinations-trend"
Colorado,CO,2024,Colorado Division of Insurance (DORA),https://doi.colorado.gov/,,,0.44,state-run,https://doi.colorado.gov/colorado-insurance-industry-statistical-report,~44% overturn rate cited by Division (per NBC News 2025 coverage attributing to DORA). Statistical report exists but item-level external-review tables not extracted; flag as secondary citation.
Connecticut,CT,2024,Connecticut Insurance Department / Office of the Healthcare Advocate,https://portal.ct.gov/cid,,,0.8,state-run,https://portal.ct.gov/cid/searchable-archive/consumer-affairs/how-to-guides/how-and-when-to-file-an-external-review,Healthcare Advocate office reports denials resolved/overturned in patient's favor ~80% of cases. Counts include both formal IRO reversals and pre-decision insurer concessions after advocate involvement. CT total denial rate among largest insurers was 14% in 2024.
Delaware,DE,,Delaware Department of Insurance,https://insurance.delaware.gov/,,,,state-run,https://insurance.delaware.gov/services/iharp/,Data gap: Delaware's Independent Health Care Appeals Program (IHCAP) does not publicly post external-review tabular statistics.
District of Columbia,DC,,DC Department of Insurance Securities and Banking (DISB),https://disb.dc.gov/,,,,state-run,https://disb.dc.gov/page/insurance-bureau,Data gap: DISB does not publish a dedicated external-review annual statistics document.
Florida,FL,2024,HHS-Administered Federal External Review (MAXIMUS Federal Services),https://www.cms.gov/cciio/programs-and-initiatives/consumer-support-and-information/csg-ext-appeals-facts,,,,HHS-administered,https://maximusferp.my.site.com/FERP/s/,Florida participates in HHS-administered federal external review (no compliant state-run process for federally regulated plans). FL OIR does not publish corresponding overturn statistics. Data gap on state-level totals.
Georgia,GA,2024,HHS-Administered Federal External Review (MAXIMUS Federal Services),https://www.cms.gov/cciio/programs-and-initiatives/consumer-support-and-information/csg-ext-appeals-facts,,,,HHS-administered,https://maximusferp.my.site.com/FERP/s/,Georgia uses HHS-administered federal external review process per CMS classification (KFF 2024 listing). OCI took over Patient Rights to Independent Review Act duties from DCH on 2022-07-01 but does not publish overturn statistics.
Hawaii,HI,2023,Hawaii Insurance Division (DCCA),https://cca.hawaii.gov/ins/,,,,state-run,https://cca.hawaii.gov/ins/files/2024/02/2023-Annual-External-Review-Report.Final-Draft.pdf,Data gap on count fields: Hawaii does publish an Annual External Review Report (2023 most recent located). Underlying PDF binary not parseable in our pipeline; cite the report URL directly.
Idaho,ID,,Idaho Department of Insurance,https://doi.idaho.gov/,,,,state-run,https://doi.idaho.gov/consumers/external-review/,Data gap: Idaho DOI does not publish public external-review statistics.
Illinois,IL,2024,Illinois Department of Insurance (IDOI),https://idoi.illinois.gov/,,,,state-run,https://idoi.illinois.gov/content/dam/soi/en/web/insurance/reports/reports/2024-annual-report-to-the-governor-idoi.pdf,Data gap on count fields: IDOI Annual Report to the Governor 2024 references external-review program but tabular case counts not extracted from binary PDF in our pipeline. Hotline: 877-850-4740.
Indiana,IN,,Indiana Department of Insurance,https://www.in.gov/idoi/,,,,state-run,https://www.in.gov/idoi/companyentity-financial-compliance/other-entities-initial-registration-requirements/independent-review-organization-initial-registration/,Data gap: IROs must file annual reports with IDOI but the Department does not publish a consolidated public external-review statistics document.
Iowa,IA,,Iowa Insurance Division,https://iid.iowa.gov/,,,,state-run,https://iid.iowa.gov/consumers/insurance/health-insurance/external-review,Data gap: Iowa Insurance Division publishes annual reports but does not specifically itemize external-review overturn statistics in a discoverable form.
Kansas,KS,2024,Kansas Insurance Department,https://insurance.kansas.gov/,,,0.54,state-run,https://insurance.ks.gov/documents/department/publications/Annual-Report-2024.pdf,~54% overturn rate cited by NBC News (2025) attributing to Kansas Department of Insurance covering data since 2018. Cumulative period rate; not single-year. Department publishes Independent Medical Review program at: https://insurance.ks.gov/documents/department/publications/independent-medical-review.pdf
Kentucky,KY,,Kentucky Department of Insurance,https://insurance.ky.gov/,,,,state-run,https://insurance.ky.gov/ppc/Pages/External-Review.aspx,Data gap: Kentucky DOI does not publish public external-review statistics.
Louisiana,LA,,Louisiana Department of Insurance,https://www.ldi.la.gov/,,,,state-run,https://www.ldi.la.gov/,Data gap: LDOI does not publish public external-review overturn statistics.
Maine,ME,2023,Maine Bureau of Insurance (Consumer Health Care Division),https://www.maine.gov/pfr/insurance/home,,,,state-run,https://digitalmaine.com/bi_docs/139/,Maine's Consumer Health Care Division publishes annual external review report incorporated into Superintendent's 2023 Annual Report. Specific case counts not extracted from binary PDF in our pipeline; cite source URL directly.
